Commit Hash,ClassQualifiedName,LOC,LCOM,CBO,WMC
fbe58ac3c5a2fcf3c551660c03a789c7eb87c3e2,de.sigfood.CommentFragment,72,0,13,18
fbe58ac3c5a2fcf3c551660c03a789c7eb87c3e2,de.sigfood.CommentThread,75,0,14,11
fbe58ac3c5a2fcf3c551660c03a789c7eb87c3e2,de.sigfood.CustomMultiPartEntity,40,0,6,5
fbe58ac3c5a2fcf3c551660c03a789c7eb87c3e2,de.sigfood.Hauptgericht,11,0,2,0
fbe58ac3c5a2fcf3c551660c03a789c7eb87c3e2,de.sigfood.HttpMultipartClient,251,75,12,52
fbe58ac3c5a2fcf3c551660c03a789c7eb87c3e2,de.sigfood.Kommentar,6,0,1,0
fbe58ac3c5a2fcf3c551660c03a789c7eb87c3e2,de.sigfood.MealActivity,218,40,37,33
fbe58ac3c5a2fcf3c551660c03a789c7eb87c3e2,de.sigfood.MealFragment,213,0,19,19
fbe58ac3c5a2fcf3c551660c03a789c7eb87c3e2,de.sigfood.MensaEssen,7,0,3,0
fbe58ac3c5a2fcf3c551660c03a789c7eb87c3e2,de.sigfood.PictureThread,124,0,15,10
fbe58ac3c5a2fcf3c551660c03a789c7eb87c3e2,de.sigfood.RatingThread,67,0,14,11
fbe58ac3c5a2fcf3c551660c03a789c7eb87c3e2,de.sigfood.SigfoodActivity,279,41,37,40
fbe58ac3c5a2fcf3c551660c03a789c7eb87c3e2,de.sigfood.SigfoodApi,144,3,14,11
fbe58ac3c5a2fcf3c551660c03a789c7eb87c3e2,de.sigfood.SigfoodMain,8,0,0,2
fbe58ac3c5a2fcf3c551660c03a789c7eb87c3e2,de.sigfood.SigfoodSettings,17,6,3,4
fbe58ac3c5a2fcf3c551660c03a789c7eb87c3e2,de.sigfood.SigfoodThread,83,0,7,10
c23f455609239c6681554011b07a7d9b1415ef5e,de.sigfood.ApplicationTest,8,0,2,1
c23f455609239c6681554011b07a7d9b1415ef5e,com.buzzingandroid.tabswipe.TabSwipeActivity,95,0,14,7
c23f455609239c6681554011b07a7d9b1415ef5e,de.sigfood.Bewertung,6,0,1,0
c23f455609239c6681554011b07a7d9b1415ef5e,de.sigfood.CommentFragment,72,0,13,18
c23f455609239c6681554011b07a7d9b1415ef5e,de.sigfood.CommentThread,75,0,14,11
c23f455609239c6681554011b07a7d9b1415ef5e,de.sigfood.CustomMultiPartEntity,40,0,6,5
c23f455609239c6681554011b07a7d9b1415ef5e,de.sigfood.Hauptgericht,11,0,2,0
c23f455609239c6681554011b07a7d9b1415ef5e,de.sigfood.HttpMultipartClient,251,75,12,52
c23f455609239c6681554011b07a7d9b1415ef5e,de.sigfood.Kommentar,6,0,1,0
c23f455609239c6681554011b07a7d9b1415ef5e,de.sigfood.MealActivity,218,40,37,33
c23f455609239c6681554011b07a7d9b1415ef5e,de.sigfood.MealFragment,213,0,19,19
c23f455609239c6681554011b07a7d9b1415ef5e,de.sigfood.MensaEssen,7,0,3,0
c23f455609239c6681554011b07a7d9b1415ef5e,de.sigfood.PictureThread,124,0,15,10
c23f455609239c6681554011b07a7d9b1415ef5e,de.sigfood.RatingThread,67,0,14,11
c23f455609239c6681554011b07a7d9b1415ef5e,de.sigfood.SigfoodActivity,279,41,37,40
c23f455609239c6681554011b07a7d9b1415ef5e,de.sigfood.SigfoodApi,144,3,14,11
c23f455609239c6681554011b07a7d9b1415ef5e,de.sigfood.SigfoodMain,8,0,0,2
c23f455609239c6681554011b07a7d9b1415ef5e,de.sigfood.SigfoodSettings,17,6,3,4
c23f455609239c6681554011b07a7d9b1415ef5e,de.sigfood.SigfoodThread,83,0,7,10
320cb92339bf4cc713f7a7265846292f0d97b114,de.sigfood.ApplicationTest,8,0,2,1
320cb92339bf4cc713f7a7265846292f0d97b114,com.buzzingandroid.tabswipe.TabSwipeActivity,95,0,14,7
320cb92339bf4cc713f7a7265846292f0d97b114,de.sigfood.Bewertung,6,0,1,0
320cb92339bf4cc713f7a7265846292f0d97b114,de.sigfood.CommentFragment,72,0,13,18
320cb92339bf4cc713f7a7265846292f0d97b114,de.sigfood.CommentThread,75,0,14,11
320cb92339bf4cc713f7a7265846292f0d97b114,de.sigfood.CustomMultiPartEntity,40,0,6,5
320cb92339bf4cc713f7a7265846292f0d97b114,de.sigfood.Hauptgericht,11,0,2,0
320cb92339bf4cc713f7a7265846292f0d97b114,de.sigfood.HttpMultipartClient,251,75,12,52
320cb92339bf4cc713f7a7265846292f0d97b114,de.sigfood.Kommentar,6,0,1,0
320cb92339bf4cc713f7a7265846292f0d97b114,de.sigfood.MealActivity,218,40,37,33
320cb92339bf4cc713f7a7265846292f0d97b114,de.sigfood.MealFragment,213,0,19,19
320cb92339bf4cc713f7a7265846292f0d97b114,de.sigfood.MensaEssen,7,0,3,0
320cb92339bf4cc713f7a7265846292f0d97b114,de.sigfood.PictureThread,124,0,15,10
320cb92339bf4cc713f7a7265846292f0d97b114,de.sigfood.RatingThread,67,0,14,11
320cb92339bf4cc713f7a7265846292f0d97b114,de.sigfood.SigfoodActivity,279,41,37,40
320cb92339bf4cc713f7a7265846292f0d97b114,de.sigfood.SigfoodApi,144,3,14,11
320cb92339bf4cc713f7a7265846292f0d97b114,de.sigfood.SigfoodMain,8,0,0,2
320cb92339bf4cc713f7a7265846292f0d97b114,de.sigfood.SigfoodSettings,17,6,3,4
320cb92339bf4cc713f7a7265846292f0d97b114,de.sigfood.SigfoodThread,83,0,7,10
857cd7c8c81a41fa73e23d482b092cd60b1e47b6,de.sigfood.ApplicationTest,8,0,2,1
857cd7c8c81a41fa73e23d482b092cd60b1e47b6,com.buzzingandroid.tabswipe.TabSwipeActivity,95,0,14,7
857cd7c8c81a41fa73e23d482b092cd60b1e47b6,de.sigfood.Bewertung,6,0,1,0
857cd7c8c81a41fa73e23d482b092cd60b1e47b6,de.sigfood.CommentFragment,72,0,13,18
857cd7c8c81a41fa73e23d482b092cd60b1e47b6,de.sigfood.CommentThread,75,0,14,11
857cd7c8c81a41fa73e23d482b092cd60b1e47b6,de.sigfood.CustomMultiPartEntity,40,0,6,5
857cd7c8c81a41fa73e23d482b092cd60b1e47b6,de.sigfood.Hauptgericht,11,0,2,0
857cd7c8c81a41fa73e23d482b092cd60b1e47b6,de.sigfood.HttpMultipartClient,251,75,12,52
857cd7c8c81a41fa73e23d482b092cd60b1e47b6,de.sigfood.Kommentar,6,0,1,0
857cd7c8c81a41fa73e23d482b092cd60b1e47b6,de.sigfood.MealActivity,218,40,37,33
857cd7c8c81a41fa73e23d482b092cd60b1e47b6,de.sigfood.MealFragment,213,0,19,19
857cd7c8c81a41fa73e23d482b092cd60b1e47b6,de.sigfood.MensaEssen,7,0,3,0
857cd7c8c81a41fa73e23d482b092cd60b1e47b6,de.sigfood.PictureThread,124,0,15,10
857cd7c8c81a41fa73e23d482b092cd60b1e47b6,de.sigfood.RatingThread,67,0,14,11
857cd7c8c81a41fa73e23d482b092cd60b1e47b6,de.sigfood.SigfoodActivity,279,41,37,40
857cd7c8c81a41fa73e23d482b092cd60b1e47b6,de.sigfood.SigfoodApi,144,3,14,11
857cd7c8c81a41fa73e23d482b092cd60b1e47b6,de.sigfood.SigfoodMain,8,0,0,2
857cd7c8c81a41fa73e23d482b092cd60b1e47b6,de.sigfood.SigfoodSettings,17,6,3,4
857cd7c8c81a41fa73e23d482b092cd60b1e47b6,de.sigfood.SigfoodThread,83,0,7,10
38509a6f5ee9e0008f3f450a0c846b99e383d808,de.sigfood.ApplicationTest,8,0,2,1
38509a6f5ee9e0008f3f450a0c846b99e383d808,com.buzzingandroid.tabswipe.TabSwipeActivity,95,0,14,7
38509a6f5ee9e0008f3f450a0c846b99e383d808,de.sigfood.Bewertung,6,0,1,0
38509a6f5ee9e0008f3f450a0c846b99e383d808,de.sigfood.CommentFragment,72,0,13,18
38509a6f5ee9e0008f3f450a0c846b99e383d808,de.sigfood.CommentThread,75,0,14,11
38509a6f5ee9e0008f3f450a0c846b99e383d808,de.sigfood.CustomMultiPartEntity,40,0,6,5
38509a6f5ee9e0008f3f450a0c846b99e383d808,de.sigfood.Hauptgericht,11,0,2,0
38509a6f5ee9e0008f3f450a0c846b99e383d808,de.sigfood.HttpMultipartClient,251,75,12,52
38509a6f5ee9e0008f3f450a0c846b99e383d808,de.sigfood.Kommentar,6,0,1,0
38509a6f5ee9e0008f3f450a0c846b99e383d808,de.sigfood.MealActivity,218,40,37,33
38509a6f5ee9e0008f3f450a0c846b99e383d808,de.sigfood.MealFragment,213,0,19,19
38509a6f5ee9e0008f3f450a0c846b99e383d808,de.sigfood.MensaEssen,7,0,3,0
38509a6f5ee9e0008f3f450a0c846b99e383d808,de.sigfood.PictureThread,124,0,15,10
38509a6f5ee9e0008f3f450a0c846b99e383d808,de.sigfood.RatingThread,67,0,14,11
38509a6f5ee9e0008f3f450a0c846b99e383d808,de.sigfood.SigfoodActivity,279,41,37,40
38509a6f5ee9e0008f3f450a0c846b99e383d808,de.sigfood.SigfoodApi,144,3,14,11
38509a6f5ee9e0008f3f450a0c846b99e383d808,de.sigfood.SigfoodMain,8,0,0,2
38509a6f5ee9e0008f3f450a0c846b99e383d808,de.sigfood.SigfoodSettings,17,6,3,4
38509a6f5ee9e0008f3f450a0c846b99e383d808,de.sigfood.SigfoodThread,83,0,7,10
4035e3f7c62e6f02096f07a0e4beb66fb82d933f,de.sigfood.ApplicationTest,8,0,2,1
4035e3f7c62e6f02096f07a0e4beb66fb82d933f,com.buzzingandroid.tabswipe.TabSwipeActivity,95,0,14,7
4035e3f7c62e6f02096f07a0e4beb66fb82d933f,de.sigfood.Bewertung,6,0,1,0
4035e3f7c62e6f02096f07a0e4beb66fb82d933f,de.sigfood.CommentFragment,72,0,13,18
4035e3f7c62e6f02096f07a0e4beb66fb82d933f,de.sigfood.CommentThread,75,0,14,11
4035e3f7c62e6f02096f07a0e4beb66fb82d933f,de.sigfood.CustomMultiPartEntity,40,0,6,5
4035e3f7c62e6f02096f07a0e4beb66fb82d933f,de.sigfood.Hauptgericht,11,0,2,0
4035e3f7c62e6f02096f07a0e4beb66fb82d933f,de.sigfood.HttpMultipartClient,251,75,12,52
4035e3f7c62e6f02096f07a0e4beb66fb82d933f,de.sigfood.Kommentar,6,0,1,0
4035e3f7c62e6f02096f07a0e4beb66fb82d933f,de.sigfood.MealActivity,218,40,37,33
4035e3f7c62e6f02096f07a0e4beb66fb82d933f,de.sigfood.MealFragment,213,0,19,19
4035e3f7c62e6f02096f07a0e4beb66fb82d933f,de.sigfood.MensaEssen,7,0,3,0
4035e3f7c62e6f02096f07a0e4beb66fb82d933f,de.sigfood.PictureThread,124,0,15,10
4035e3f7c62e6f02096f07a0e4beb66fb82d933f,de.sigfood.RatingThread,67,0,14,11
4035e3f7c62e6f02096f07a0e4beb66fb82d933f,de.sigfood.SigfoodActivity,279,41,37,40
4035e3f7c62e6f02096f07a0e4beb66fb82d933f,de.sigfood.SigfoodApi,144,3,14,11
4035e3f7c62e6f02096f07a0e4beb66fb82d933f,de.sigfood.SigfoodMain,8,0,0,2
4035e3f7c62e6f02096f07a0e4beb66fb82d933f,de.sigfood.SigfoodSettings,17,6,3,4
4035e3f7c62e6f02096f07a0e4beb66fb82d933f,de.sigfood.SigfoodThread,83,0,7,10
044fa41454f79b81bb107561dbdcd869a79e4215,de.sigfood.ApplicationTest,8,0,2,1
044fa41454f79b81bb107561dbdcd869a79e4215,com.buzzingandroid.tabswipe.TabSwipeActivity,95,0,14,7
044fa41454f79b81bb107561dbdcd869a79e4215,de.sigfood.Bewertung,6,0,1,0
044fa41454f79b81bb107561dbdcd869a79e4215,de.sigfood.CommentFragment,72,0,13,18
044fa41454f79b81bb107561dbdcd869a79e4215,de.sigfood.CommentThread,75,0,14,11
044fa41454f79b81bb107561dbdcd869a79e4215,de.sigfood.CustomMultiPartEntity,40,0,6,5
044fa41454f79b81bb107561dbdcd869a79e4215,de.sigfood.Hauptgericht,11,0,2,0
044fa41454f79b81bb107561dbdcd869a79e4215,de.sigfood.HttpMultipartClient,251,75,12,52
044fa41454f79b81bb107561dbdcd869a79e4215,de.sigfood.Kommentar,6,0,1,0
044fa41454f79b81bb107561dbdcd869a79e4215,de.sigfood.MealActivity,218,40,37,33
