Commit Hash,ClassQualifiedName,LOC,LCOM,CBO,WMC
da81a5c57f7e5ea5e7e2551c3ff7e6b5e19eb781,org.zakky.memopad.PadActivity,179,100,15,29
da81a5c57f7e5ea5e7e2551c3ff7e6b5e19eb781,org.zakky.memopad.PaintView,265,137,26,48
da81a5c57f7e5ea5e7e2551c3ff7e6b5e19eb781,org.zakky.memopad.PenConfigActionProvider,131,0,9,32
9f0958902741cc46b10e5d6f480d64824809673d,org.zakky.smart_tag_app.MediaUtils,91,10,10,15
9f0958902741cc46b10e5d6f480d64824809673d,org.zakky.smart_tag_app.SmartTagAppActivity,121,0,18,16
9f0958902741cc46b10e5d6f480d64824809673d,org.zakky.smart_tag_app.SmartTagTask,35,4,5,8
9f0958902741cc46b10e5d6f480d64824809673d,org.zakky.memopad.BgConfigActionProvider,112,0,7,26
9f0958902741cc46b10e5d6f480d64824809673d,org.zakky.memopad.CanvasFragment,117,56,8,25
9f0958902741cc46b10e5d6f480d64824809673d,org.zakky.memopad.MyDialogFragment,35,0,9,6
9f0958902741cc46b10e5d6f480d64824809673d,org.zakky.memopad.PadActivity,179,100,15,29
9f0958902741cc46b10e5d6f480d64824809673d,org.zakky.memopad.PaintView,265,137,26,48
9f0958902741cc46b10e5d6f480d64824809673d,org.zakky.memopad.PenConfigActionProvider,131,0,9,32
0b86f9abc1f1c0884f91a0f722e4e00fd92dfcac,org.zakky.smart_tag_app.MediaUtils,91,10,10,15
0b86f9abc1f1c0884f91a0f722e4e00fd92dfcac,org.zakky.smart_tag_app.SmartTagAppActivity,121,0,18,16
0b86f9abc1f1c0884f91a0f722e4e00fd92dfcac,org.zakky.smart_tag_app.SmartTagTask,35,4,5,8
0b86f9abc1f1c0884f91a0f722e4e00fd92dfcac,org.zakky.memopad.BgConfigActionProvider,112,0,7,26
0b86f9abc1f1c0884f91a0f722e4e00fd92dfcac,org.zakky.memopad.CanvasFragment,117,56,8,25
0b86f9abc1f1c0884f91a0f722e4e00fd92dfcac,org.zakky.memopad.MyDialogFragment,35,0,9,6
0b86f9abc1f1c0884f91a0f722e4e00fd92dfcac,org.zakky.memopad.PadActivity,179,100,15,29
0b86f9abc1f1c0884f91a0f722e4e00fd92dfcac,org.zakky.memopad.PaintView,265,137,26,48
