Commit,Decor_Spaghetti_Code,Decor_Large_Class,Decor_Complex_Class
0.46,3.45,4.58,0.91
0.46,3.45,4.58,0.91
0.46,3.45,4.58,0.91
0.46,3.45,4.58,0.91
0.46,3.45,4.58,0.91
0.46,3.45,4.58,0.91
0.47,3.45,4.58,0.91
0.47,3.45,4.58,0.91
0.47,3.45,4.58,0.91
0.47,3.45,4.58,0.91
0.47,3.45,4.58,0.91
0.47,3.45,4.58,0.91
0.47,3.45,4.58,0.91
0.47,3.45,4.58,0.91
0.47,3.45,4.58,0.91
0.47,3.45,4.58,0.91
0.47,3.45,4.58,0.91
0.47,3.45,4.58,0.91
0.47,3.45,4.58,0.91
0.48,3.45,4.58,0.91
0.48,3.45,4.58,0.91
0.48,3.45,4.58,0.91
0.48,3.45,4.58,0.91
0.48,3.45,4.58,0.91
0.48,3.45,4.58,0.91
0.48,3.45,4.58,0.91
0.48,3.45,4.58,0.91
0.47,3.5,4.65,0.92
0.47,3.5,4.65,0.92
0.47,3.5,4.65,0.92
0.48,3.5,4.65,0.92
0.48,3.5,4.65,0.92
0.48,3.5,4.65,0.92
0.48,3.5,4.65,0.92
0.48,3.5,4.65,0.92
0.48,3.5,4.65,0.92
0.48,3.5,4.65,0.92
0.48,3.5,4.65,0.92
0.48,3.5,4.65,0.92
0.48,3.5,4.65,0.92
0.48,3.5,4.65,0.92
0.48,3.5,4.65,0.92
0.49,3.5,4.65,0.92
0.49,3.5,4.65,0.92
0.49,3.5,4.65,0.92
0.49,3.5,4.65,0.92
0.49,3.5,4.65,0.92
0.49,3.5,4.65,0.92
0.49,3.5,4.65,0.92
0.49,3.5,4.65,0.92
0.49,3.5,4.65,0.92
0.49,3.5,4.65,0.92
0.49,3.5,4.65,0.92
0.49,3.5,4.65,0.92
0.5,3.5,4.65,0.92
0.5,3.5,4.65,0.92
0.5,3.5,4.65,0.92
0.49,3.57,4.73,0.94
0.49,3.57,4.73,0.94
0.49,3.57,4.73,0.94
0.49,3.57,4.73,0.94
0.49,3.57,4.73,0.94
0.49,3.57,4.73,0.94
0.49,3.57,4.73,0.94
0.49,3.57,4.73,0.94
0.5,3.57,4.73,0.94
0.5,3.57,4.73,0.94
0.5,3.57,4.73,0.94
0.5,3.57,4.73,0.94
0.5,3.57,4.73,0.94
0.5,3.57,4.73,0.94
0.5,3.57,4.73,0.94
0.5,3.57,4.73,0.94
0.5,3.57,4.73,0.94
0.5,3.57,4.73,0.94
0.5,3.57,4.73,0.94
0.5,3.57,4.73,0.94
0.5,3.57,4.73,0.94
0.51,3.57,4.73,0.94
0.51,3.57,4.73,0.94
0.51,3.57,4.73,0.94
0.51,3.57,4.73,0.94
0.51,3.57,4.73,0.94
0.5,3.6,4.78,0.96
0.5,3.6,4.78,0.96
0.5,3.6,4.78,0.96
0.5,3.6,4.78,0.96
0.5,3.6,4.78,0.96
0.5,3.6,4.78,0.96
0.5,3.6,4.78,0.96
0.51,3.6,4.78,0.96
0.5,3.61,4.8,0.98
0.5,3.61,4.8,0.98
0.5,3.61,4.8,0.98
0.5,3.61,4.8,0.98
0.5,3.61,4.8,0.98
0.5,3.61,4.8,0.98
0.5,3.61,4.8,0.98
0.5,3.61,4.8,0.98
0.5,3.61,4.8,0.98
0.49,3.69,4.9,1.0
0.49,3.69,4.9,1.0
0.49,3.69,4.9,1.0
0.49,3.69,4.9,1.0
0.5,3.69,4.9,1.0
0.5,3.69,4.9,1.0
0.5,3.69,4.9,1.0
0.5,3.69,4.9,1.0
0.49,3.77,5.0,1.02
0.49,3.77,5.0,1.02
0.49,3.77,5.0,1.02
0.49,3.77,5.0,1.02
0.49,3.77,5.0,1.02
0.48,3.8,5.07,1.0
0.48,3.8,5.07,1.0
0.48,3.8,5.07,1.0
0.48,3.8,5.07,1.0
0.48,3.8,5.07,1.0
0.48,3.8,5.07,1.0
0.48,3.8,5.07,1.0
0.47,3.62,4.89,0.93
0.48,3.62,4.89,0.93
0.48,3.62,4.89,0.93
0.48,3.62,4.89,0.93
0.48,3.62,4.89,0.93
0.48,3.62,4.89,0.93
0.48,3.62,4.89,0.93
0.48,3.62,4.89,0.93
0.48,3.62,4.89,0.93
0.48,3.62,4.89,0.93
0.48,3.62,4.89,0.93
0.48,3.62,4.89,0.93
0.48,3.62,4.89,0.93
0.48,3.62,4.89,0.93
0.48,3.62,4.89,0.93
0.49,3.62,4.89,0.93
0.49,3.62,4.89,0.93
0.49,3.62,4.89,0.93
0.49,3.62,4.89,0.93
0.49,3.62,4.89,0.93
0.49,3.62,4.89,0.93
0.49,3.62,4.89,0.93
0.49,3.62,4.89,0.93
0.49,3.62,4.89,0.93
0.49,3.62,4.89,0.93
0.49,3.62,4.89,0.93
0.49,3.62,4.89,0.93
0.49,3.62,4.89,0.93
0.49,3.62,4.89,0.93
0.5,3.62,4.89,0.93
0.5,3.62,4.89,0.93
0.5,3.62,4.89,0.93
0.5,3.62,4.89,0.93
0.5,3.62,4.89,0.93
0.5,3.62,4.89,0.93
0.5,3.62,4.89,0.93
0.5,3.62,4.89,0.93
0.5,3.62,4.89,0.93
0.49,3.7,4.98,0.95
0.49,3.7,4.98,0.95
0.49,3.7,4.98,0.95
0.49,3.7,4.98,0.95
0.49,3.7,4.98,0.95
0.49,3.7,4.98,0.95
0.49,3.7,4.98,0.95
0.5,3.7,4.98,0.95
0.5,3.7,4.98,0.95
0.5,3.7,4.98,0.95
0.5,3.7,4.98,0.95
0.5,3.7,4.98,0.95
0.5,3.7,4.98,0.95
0.5,3.7,4.98,0.95
0.5,3.7,4.98,0.95
0.5,3.7,4.98,0.95
0.5,3.7,4.98,0.95
0.5,3.7,4.98,0.95
0.5,3.7,4.98,0.95
0.5,3.7,4.98,0.95
0.5,3.7,4.98,0.95
0.5,3.7,4.98,0.95
0.51,3.7,4.98,0.95
0.51,3.7,4.98,0.95
