Commit,LOC,LCOM,CBO,WMC
0.4,13782.49,10501.5,1339.42,2825.87
0.4,13782.49,10501.5,1339.42,2825.87
0.4,13782.49,10501.5,1339.42,2825.87
0.41,13782.49,10501.5,1339.42,2825.87
0.41,13782.49,10501.5,1339.42,2825.87
0.4,13925.54,10611.8,1353.78,2854.79
0.4,13925.54,10611.8,1353.78,2854.79
0.41,13925.54,10611.8,1353.78,2854.79
0.41,13925.54,10611.8,1353.78,2854.79
0.4,13972.81,10711.11,1358.81,2868.98
0.4,13972.81,10711.11,1358.81,2868.98
0.41,13972.81,10711.11,1358.81,2868.98
0.41,13972.81,10711.11,1358.81,2868.98
0.41,13972.81,10711.11,1358.81,2868.98
0.41,13972.81,10711.11,1358.81,2868.98
0.4,14263.0,10959.9,1383.44,2928.61
0.4,14263.0,10959.9,1383.44,2928.61
0.4,14263.0,10959.9,1383.44,2928.61
0.4,14263.0,10959.9,1383.44,2928.61
0.4,14263.0,10959.9,1383.44,2928.61
0.4,14263.0,10959.9,1383.44,2928.61
0.41,14263.0,10959.9,1383.44,2928.61
0.41,14263.0,10959.9,1383.44,2928.61
0.4,14361.77,10944.01,1396.84,2947.9
0.4,14361.77,10944.01,1396.84,2947.9
0.4,14528.32,11076.92,1411.86,2982.4
0.4,14528.32,11076.92,1411.86,2982.4
0.4,14528.32,11076.92,1411.86,2982.4
0.4,14528.32,11076.92,1411.86,2982.4
0.4,14528.32,11076.92,1411.86,2982.4
0.4,14528.32,11076.92,1411.86,2982.4
0.41,14528.32,11076.92,1411.86,2982.4
0.41,14528.32,11076.92,1411.86,2982.4
0.41,14528.32,11076.92,1411.86,2982.4
0.41,14528.32,11076.92,1411.86,2982.4
0.41,14528.32,11076.92,1411.86,2982.4
0.41,14528.32,11076.92,1411.86,2982.4
0.41,14528.32,11076.92,1411.86,2982.4
0.42,14528.32,11076.92,1411.86,2982.4
0.41,14637.99,11180.28,1422.92,3006.09
0.41,14637.99,11180.28,1422.92,3006.09
0.41,14637.99,11180.28,1422.92,3006.09
0.41,14637.99,11180.28,1422.92,3006.09
0.42,14637.99,11180.28,1422.92,3006.09
0.42,14637.99,11180.28,1422.92,3006.09
0.42,14637.99,11180.28,1422.92,3006.09
0.42,14637.99,11180.28,1422.92,3006.09
0.42,14637.99,11180.28,1422.92,3006.09
0.42,14637.99,11180.28,1422.92,3006.09
0.42,14637.99,11180.28,1422.92,3006.09
0.43,14637.99,11180.28,1422.92,3006.09
0.42,14584.21,11105.85,1420.36,2994.71
0.42,14584.21,11105.85,1420.36,2994.71
0.42,14584.21,11105.85,1420.36,2994.71
0.42,14584.21,11105.85,1420.36,2994.71
0.43,14584.21,11105.85,1420.36,2994.71
0.43,14584.21,11105.85,1420.36,2994.71
0.43,14584.21,11105.85,1420.36,2994.71
0.43,14584.21,11105.85,1420.36,2994.71
0.43,14584.21,11105.85,1420.36,2994.71
0.43,14748.6,11239.96,1437.1,3029.17
0.43,14748.6,11239.96,1437.1,3029.17
0.42,14878.03,11372.22,1444.95,3055.41
0.42,14878.03,11372.22,1444.95,3055.41
0.42,14878.03,11372.22,1444.95,3055.41
0.42,14878.03,11372.22,1444.95,3055.41
0.43,14878.03,11372.22,1444.95,3055.41
0.43,14878.03,11372.22,1444.95,3055.41
0.43,14878.03,11372.22,1444.95,3055.41
0.43,14878.03,11372.22,1444.95,3055.41
0.42,15028.71,11501.41,1460.32,3086.01
0.42,15028.71,11501.41,1460.32,3086.01
0.43,15028.71,11501.41,1460.32,3086.01
0.43,15028.71,11501.41,1460.32,3086.01
0.43,15028.71,11501.41,1460.32,3086.01
0.43,15028.71,11501.41,1460.32,3086.01
0.43,15028.71,11501.41,1460.32,3086.01
0.43,15028.71,11501.41,1460.32,3086.01
0.43,15028.71,11501.41,1460.32,3086.01
0.44,15028.71,11501.41,1460.32,3086.01
0.44,15028.71,11501.41,1460.32,3086.01
0.44,15028.71,11501.41,1460.32,3086.01
0.43,15196.96,11639.99,1475.8,3120.5
0.42,15400.52,11798.15,1494.92,3161.79
0.43,15400.52,11798.15,1494.92,3161.79
0.43,15400.52,11798.15,1494.92,3161.79
0.43,15400.52,11798.15,1494.92,3161.79
0.43,15400.52,11798.15,1494.92,3161.79
0.42,15537.29,11936.6,1508.21,3190.9
0.42,15537.29,11936.6,1508.21,3190.9
0.43,15537.29,11936.6,1508.21,3190.9
0.43,15537.29,11936.6,1508.21,3190.9
0.43,15537.29,11936.6,1508.21,3190.9
0.43,15537.29,11936.6,1508.21,3190.9
0.43,15537.29,11936.6,1508.21,3190.9
0.43,15537.29,11936.6,1508.21,3190.9
0.43,15537.29,11936.6,1508.21,3190.9
0.43,15537.29,11936.6,1508.21,3190.9
0.44,15537.29,11936.6,1508.21,3190.9
0.44,15537.29,11936.6,1508.21,3190.9
0.44,15537.29,11936.6,1508.21,3190.9
0.44,15537.29,11936.6,1508.21,3190.9
0.44,15537.29,11936.6,1508.21,3190.9
0.44,15537.29,11936.6,1508.21,3190.9
0.44,15537.29,11936.6,1508.21,3190.9
0.44,15723.04,12102.48,1526.31,3232.45
0.44,15723.04,12102.48,1526.31,3232.45
0.44,15723.04,12102.48,1526.31,3232.45
0.43,15858.93,12206.76,1542.06,3266.1
0.43,15858.93,12206.76,1542.06,3266.1
0.43,15858.93,12206.76,1542.06,3266.1
0.44,15858.93,12206.76,1542.06,3266.1
0.44,15858.93,12206.76,1542.06,3266.1
0.44,15858.93,12206.76,1542.06,3266.1
0.44,15858.93,12206.76,1542.06,3266.1
0.43,16013.04,12340.32,1538.3,3288.17
0.43,16013.04,12340.32,1538.3,3288.17
0.44,16013.04,12340.32,1538.3,3288.17
0.44,16013.04,12340.32,1538.3,3288.17
0.44,16013.04,12340.32,1538.3,3288.17
0.44,16013.04,12340.32,1538.3,3288.17
0.44,16013.04,12340.32,1538.3,3288.17
0.43,16159.03,12499.06,1547.49,3320.16
0.43,16159.03,12499.06,1547.49,3320.16
0.44,16159.03,12499.06,1547.49,3320.16
0.44,16159.03,12499.06,1547.49,3320.16
0.44,16159.03,12499.06,1547.49,3320.16
0.44,16159.03,12499.06,1547.49,3320.16
0.44,16159.03,12499.06,1547.49,3320.16
0.44,16159.03,12499.06,1547.49,3320.16
0.44,16159.03,12499.06,1547.49,3320.16
0.44,16159.03,12499.06,1547.49,3320.16
0.44,16026.78,12353.94,1549.37,3296.03
0.43,16174.0,12501.2,1562.36,3326.83
0.43,16174.0,12501.2,1562.36,3326.83
0.43,16174.0,12501.2,1562.36,3326.83
0.43,16174.0,12501.2,1562.36,3326.83
0.43,16174.0,12501.2,1562.36,3326.83
0.43,16174.0,12501.2,1562.36,3326.83
0.44,16174.0,12501.2,1562.36,3326.83
0.44,16174.0,12501.2,1562.36,3326.83
0.44,16174.0,12501.2,1562.36,3326.83
0.44,16174.0,12501.2,1562.36,3326.83
