Commit,DW_Smell,IDS_Smell,IS_Smell,LT_Smell,MIM_Smell
0.41,0.11,0.18,0.55,0.07,22.48
0.41,0.11,0.18,0.55,0.07,22.48
0.41,0.11,0.18,0.55,0.07,22.48
0.4,0.1,0.17,0.55,0.07,22.66
0.41,0.1,0.17,0.55,0.07,22.66
0.41,0.1,0.17,0.55,0.07,22.66
0.41,0.1,0.17,0.55,0.07,22.66
0.4,0.1,0.17,0.55,0.07,22.83
0.41,0.1,0.17,0.55,0.07,22.83
0.41,0.1,0.17,0.55,0.07,22.83
0.4,0.1,0.13,0.55,0.07,22.74
0.4,0.1,0.13,0.55,0.07,22.74
0.4,0.1,0.13,0.55,0.07,22.74
0.41,0.1,0.13,0.55,0.07,22.74
0.41,0.1,0.13,0.55,0.07,22.74
0.4,0.11,0.13,0.55,0.07,22.99
0.4,0.11,0.13,0.55,0.07,22.99
0.41,0.11,0.13,0.55,0.07,22.99
0.41,0.11,0.13,0.55,0.07,22.99
0.4,0.11,0.13,0.56,0.07,23.24
0.4,0.11,0.13,0.56,0.07,23.24
0.41,0.11,0.13,0.56,0.07,23.24
0.41,0.11,0.13,0.56,0.07,23.24
0.41,0.11,0.13,0.56,0.07,23.24
0.41,0.11,0.13,0.56,0.07,23.24
0.4,0.11,0.13,0.57,0.07,23.76
0.4,0.11,0.13,0.57,0.07,23.76
0.4,0.11,0.13,0.57,0.07,23.76
0.4,0.11,0.13,0.57,0.07,23.76
0.4,0.11,0.13,0.57,0.07,23.76
0.4,0.11,0.13,0.57,0.07,23.76
0.41,0.11,0.13,0.57,0.07,23.76
0.41,0.11,0.13,0.57,0.07,23.76
0.4,0.11,0.14,0.58,0.07,24.05
0.4,0.11,0.14,0.58,0.07,24.05
0.4,0.11,0.14,0.59,0.08,24.34
0.4,0.11,0.14,0.59,0.08,24.34
0.4,0.11,0.14,0.59,0.08,24.34
0.4,0.11,0.14,0.59,0.08,24.34
0.4,0.11,0.14,0.59,0.08,24.34
0.4,0.11,0.14,0.59,0.08,24.34
0.41,0.11,0.14,0.59,0.08,24.34
0.41,0.11,0.14,0.59,0.08,24.34
0.41,0.11,0.14,0.59,0.08,24.34
0.41,0.11,0.14,0.59,0.08,24.34
0.41,0.11,0.14,0.59,0.08,24.34
0.41,0.11,0.14,0.59,0.08,24.34
0.41,0.11,0.14,0.59,0.08,24.34
0.42,0.11,0.14,0.59,0.08,24.34
0.41,0.11,0.14,0.59,0.08,24.44
0.41,0.11,0.14,0.59,0.08,24.44
0.41,0.11,0.14,0.59,0.08,24.44
0.41,0.11,0.14,0.59,0.08,24.44
0.42,0.11,0.14,0.59,0.08,24.44
0.42,0.11,0.14,0.59,0.08,24.44
0.42,0.11,0.14,0.59,0.08,24.44
0.42,0.11,0.14,0.59,0.08,24.44
0.42,0.11,0.14,0.59,0.08,24.44
0.42,0.11,0.14,0.59,0.08,24.44
0.42,0.11,0.14,0.59,0.08,24.44
0.43,0.11,0.14,0.59,0.08,24.44
0.42,0.12,0.14,0.56,0.08,24.33
0.42,0.12,0.14,0.56,0.08,24.33
0.42,0.12,0.14,0.56,0.08,24.33
0.42,0.12,0.14,0.56,0.08,24.33
0.43,0.12,0.14,0.56,0.08,24.33
0.43,0.12,0.14,0.56,0.08,24.33
0.43,0.12,0.14,0.56,0.08,24.33
0.43,0.12,0.14,0.56,0.08,24.33
0.43,0.12,0.14,0.56,0.08,24.33
0.43,0.12,0.14,0.57,0.08,24.64
0.43,0.12,0.14,0.57,0.08,24.64
0.42,0.12,0.14,0.58,0.08,24.92
0.42,0.12,0.14,0.58,0.08,24.92
0.42,0.12,0.14,0.58,0.08,24.92
0.42,0.12,0.14,0.58,0.08,24.92
0.43,0.12,0.14,0.58,0.08,24.92
0.43,0.12,0.14,0.58,0.08,24.92
0.43,0.12,0.14,0.58,0.08,24.92
0.43,0.12,0.14,0.58,0.08,24.92
0.42,0.12,0.15,0.59,0.08,25.19
0.42,0.12,0.15,0.59,0.08,25.19
0.43,0.12,0.15,0.59,0.08,25.19
0.43,0.12,0.15,0.59,0.08,25.19
0.43,0.12,0.15,0.59,0.08,25.19
0.43,0.12,0.15,0.59,0.08,25.19
0.43,0.12,0.15,0.59,0.08,25.19
0.43,0.12,0.15,0.59,0.08,25.19
0.43,0.12,0.15,0.59,0.08,25.19
0.44,0.12,0.15,0.59,0.08,25.19
0.44,0.12,0.15,0.59,0.08,25.19
0.44,0.12,0.15,0.59,0.08,25.19
0.43,0.12,0.15,0.59,0.08,25.49
0.42,0.12,0.15,0.6,0.08,25.84
0.43,0.12,0.15,0.6,0.08,25.84
0.43,0.12,0.15,0.6,0.08,25.84
0.43,0.12,0.15,0.6,0.08,25.84
0.43,0.12,0.15,0.6,0.08,25.84
0.42,0.12,0.15,0.61,0.08,26.06
0.42,0.12,0.15,0.61,0.08,26.06
0.43,0.12,0.15,0.61,0.08,26.06
0.43,0.12,0.15,0.61,0.08,26.06
0.43,0.12,0.15,0.61,0.08,26.06
0.43,0.12,0.15,0.61,0.08,26.06
0.43,0.12,0.15,0.61,0.08,26.06
0.43,0.12,0.15,0.61,0.08,26.06
0.43,0.12,0.15,0.61,0.08,26.06
0.43,0.12,0.15,0.61,0.08,26.06
0.44,0.12,0.15,0.61,0.08,26.06
0.44,0.12,0.15,0.61,0.08,26.06
0.44,0.12,0.15,0.61,0.08,26.06
0.44,0.12,0.15,0.61,0.08,26.06
0.44,0.12,0.15,0.61,0.08,26.06
0.44,0.12,0.15,0.61,0.08,26.06
0.44,0.12,0.15,0.61,0.08,26.06
0.44,0.13,0.15,0.62,0.08,26.32
0.44,0.13,0.15,0.62,0.08,26.32
0.44,0.13,0.15,0.62,0.08,26.32
0.43,0.13,0.16,0.6,0.09,26.59
0.43,0.13,0.16,0.6,0.09,26.59
0.43,0.13,0.16,0.6,0.09,26.59
0.44,0.13,0.16,0.6,0.09,26.59
0.44,0.13,0.16,0.6,0.09,26.59
0.44,0.13,0.16,0.6,0.09,26.59
0.44,0.13,0.16,0.6,0.09,26.59
0.43,0.13,0.16,0.59,0.09,26.58
0.43,0.13,0.16,0.59,0.09,26.58
0.44,0.13,0.16,0.59,0.09,26.58
