Commit,Decor_Feature_Envy,Decor_long_Method
0.46,9.18,2.56
0.46,9.18,2.56
0.47,9.18,2.56
0.47,9.18,2.56
0.47,9.18,2.56
0.47,9.18,2.56
0.47,9.18,2.56
0.47,9.18,2.56
0.47,9.18,2.56
0.46,9.31,2.59
0.46,9.31,2.59
0.46,9.31,2.59
0.46,9.31,2.59
0.47,9.31,2.59
0.47,9.31,2.59
0.47,9.31,2.59
0.47,9.31,2.59
0.47,9.31,2.59
0.46,9.45,2.62
0.46,9.45,2.62
0.46,9.45,2.62
0.46,9.45,2.62
0.46,9.45,2.62
0.46,9.45,2.62
0.47,9.45,2.62
0.47,9.45,2.62
0.47,9.45,2.62
0.47,9.45,2.62
0.47,9.45,2.62
0.47,9.45,2.62
0.47,9.45,2.62
0.47,9.45,2.62
0.47,9.45,2.62
0.47,9.45,2.62
0.47,9.45,2.62
0.47,9.45,2.62
0.47,9.45,2.62
0.48,9.45,2.62
0.48,9.45,2.62
0.48,9.45,2.62
0.48,9.45,2.62
0.48,9.45,2.62
0.48,9.45,2.62
0.48,9.45,2.62
0.48,9.45,2.62
0.47,9.62,2.67
0.47,9.62,2.67
0.47,9.62,2.67
0.48,9.62,2.67
0.48,9.62,2.67
0.48,9.62,2.67
0.48,9.62,2.67
0.48,9.62,2.67
0.48,9.62,2.67
0.48,9.62,2.67
0.48,9.62,2.67
0.48,9.62,2.67
0.48,9.62,2.67
0.48,9.62,2.67
0.48,9.62,2.67
0.49,9.62,2.67
0.49,9.62,2.67
0.49,9.62,2.67
0.49,9.62,2.67
0.49,9.62,2.67
0.49,9.62,2.67
0.49,9.62,2.67
0.49,9.62,2.67
0.49,9.62,2.67
0.49,9.62,2.67
0.49,9.62,2.67
0.49,9.62,2.67
0.5,9.62,2.67
0.5,9.62,2.67
0.5,9.62,2.67
0.49,9.78,2.73
0.49,9.78,2.73
0.49,9.78,2.73
0.49,9.78,2.73
0.49,9.78,2.73
0.49,9.78,2.73
0.49,9.78,2.73
0.49,9.78,2.73
0.5,9.78,2.73
0.5,9.78,2.73
0.5,9.78,2.73
0.5,9.78,2.73
0.5,9.78,2.73
0.5,9.78,2.73
0.5,9.78,2.73
0.5,9.78,2.73
0.5,9.78,2.73
0.5,9.78,2.73
0.5,9.78,2.73
0.5,9.78,2.73
0.5,9.78,2.73
0.51,9.78,2.73
0.51,9.78,2.73
0.51,9.78,2.73
0.51,9.78,2.73
0.51,9.78,2.73
0.5,9.76,2.78
0.5,9.76,2.78
0.5,9.76,2.78
0.5,9.76,2.78
0.5,9.76,2.78
0.5,9.76,2.78
0.5,9.76,2.78
0.51,9.76,2.78
0.5,9.92,2.84
0.5,9.92,2.84
0.5,9.92,2.84
0.5,9.92,2.84
0.5,9.92,2.84
0.5,9.92,2.84
0.5,9.92,2.84
0.5,9.92,2.84
0.5,9.92,2.84
